什麼是A型肝炎？,A型肝炎是由A型肝炎病毒感染所造成的急性肝臟發炎
自費小兒麻痺用藥要多少錢？,小兒麻痹症無特效藥治療，僅能採取支持性療法，若出現疑似症狀，請由醫師評估診斷治療。
了解小兒麻痺用藥。,小兒麻痹症無特效藥治療，僅能採取支持性療法，若出現疑似症狀，請由醫師評估診斷治療。
小兒麻痺用藥有哪些種類？,小兒麻痹症無特效藥治療，僅能採取支持性療法。
小兒麻痺用藥有哪些廠牌？,小兒麻痹症無特效藥治療，僅能採取支持性療法。
小兒麻痺用藥後要注意什麼？,小兒麻痹症無特效藥治療，僅能採取支持性療法。
服用小兒麻痺用藥有哪些副作用？,小兒麻痹症無特效藥治療，僅能採取支持性療法。
服用小兒麻痺用藥有副作用要去哪裡就醫？,小兒麻痹症無特效藥治療，僅能採取支持性療法。
小兒麻痺用藥可否自行停藥？,小兒麻痹症無特效藥治療，僅能採取支持性療法。
嬰幼兒感染了小兒麻痺會有什麼症狀？,小兒麻痹症無特效藥治療，僅能採取支持性療法。
嬰幼兒要如何預防小兒麻痺？,預防小兒麻痺症最有效的方法就是按時接種小兒麻痺疫苗。
哪裡可以接種白喉疫苗？,1.您可至全國各地衛生所(台北市為各區健康服務中心)或各縣市預防接種合約醫院診所接種。各縣市疫苗的合約院所，可向各地衛生局(所)洽詢。
白喉疫苗有擴大施打對象嗎？,1.國內除了嬰幼兒常規接種項目外，於幼兒出生滿2、4、6、18個月時，及滿5歲至入國小前，各接種一劑含白喉、破傷風、非細胞性百日咳及不活化小兒麻痺混合疫苗。此外，建議每10 年追加1 劑Td，其中高危險群如醫療照護人員、孕前婦女、嬰兒照顧者應優先以Tdap 疫苗接種1劑。
我想了解白喉疫苗或預防藥品。,"含白喉疫苗有：
 1.白喉破傷風非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗 (DTaP-Hib-IPV)
 2. 白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗(DTaP-IPV)
 3.白喉破傷風混合疫苗 (DT)
 4.破傷風減量白喉混合疫苗 (Td)。"
接種白喉疫苗有副作用去哪裡就醫。,請儘速至原接種疫苗之醫療院所就醫。
我能公費使用白喉用藥？,無公費白喉用藥，請至醫療院所就醫治療。
我適合使用白喉用藥？,如出現疑似症狀，應至醫療院所就醫，由醫師評估過後，才可使用。
能自行領用白喉用藥？,如出現疑似症狀，應至醫療院所就醫，由醫師評估過後，才可使用。
自費白喉用藥要多少錢？,因治療藥物之廠牌、劑量、時間等不同，自費價格請洽各醫療院所諮詢。
了解白喉用藥。,白喉用藥物目前以紅黴素及盤尼西林最有效，應在細菌培養開始後，取其一與抗毒素混合使用（但不能單獨使用抗毒素）。
白喉用藥有哪些廠牌？,無公費白喉用藥，請洽詢就醫之醫療院所。
白喉用藥後要注意什麼？,有關用藥後注意事項，應諮詢專業醫療或藥事人員，確實依照指示服用藥物。
這是治療白喉後的副作用嗎？,請洽詢就醫之醫療院所，由醫師評估。
服用白喉用藥有副作用要去哪裡就醫？,請儘速至附近醫療院所就醫。
嬰幼兒感染了白喉會有什麼症狀？,發燒、喉痛、喉嚨出現一片片淺灰色的薄膜，吞嚥及呼吸困難。
嬰幼兒要如何預防白喉？,最有效的方法是疫苗接種，避免帶未滿1歲或未接種疫苗的嬰幼兒至流行地區。
先天性德國麻疹有什麼危險徵兆。,如果在懷孕最初10週內感染德國麻疹，出生的嬰兒有高達90％的機率會有先天性缺陷，如先天性耳聾、青光眼、白內障、小腦症、智能不足及先天性心臟病等缺陷的情形，稱為先天性德國麻疹症候群。
哪裡可以接種先天性德國麻疹疫苗？,"國內目前上市提供的疫苗為麻疹、腮腺炎、德國麻疹（MMR）混合疫苗 ，各類對象之MMR疫苗接種地點如下: 
1.幼兒常規公費接種對象：
各衛生所(台北市為聯合醫院12區附設門診部)及預防接種合約院所 。"
接種先天性德國麻疹疫苗該帶什麼證件？,學齡前幼兒前往各衛生所(台北市為聯合醫院12區附設門診部)或預防接種合約院所接種各項常規疫苗須攜帶兒童健康手冊及健保IC卡。
先天性德國麻疹症候群有擴大施打對象嗎？,目前出生滿12個月，及滿5歲至入國小前各常規接種一劑「麻疹、腮腺炎、德國麻疹（MMR）混合疫苗」，另對本國籍育齡婦女，出具經檢測徳國麻疹抗體陰性證明者，提供1劑公費MMR疫苗接種。
先天性德國麻疹疫苗有哪些種類。,德國麻疹相關疫苗，包括有德國麻疹疫苗(RV)、麻疹德國麻疹混合疫苗(MR)、麻疹腮腺炎德國麻疹混合疫苗(MMR)及麻疹腮腺炎德國麻疹水痘混合疫苗(MMRV)。
先天性德國麻疹疫苗有哪些廠牌。,國內目前上市提供的疫苗為麻疹、腮腺炎、德國麻疹（MMR）混合疫苗，來自二個廠牌，分別為GSK及MSD。
罹患先天性德國麻疹可以上班上課？,先天性德國麻疹症候群病嬰，可長期排出病毒至1歲左右，故此期間仍需隔離，避免與懷孕婦女及未具免疫力之幼兒接觸，住院期間應由具有抗體之醫護人員照顧，除非個案在出生3個月以後的咽喉和尿液檢體病毒培養陰性為止。
我需要篩檢先天性德國麻疹症候群嗎？,疾管署會從新生兒聽力篩檢、出生通報、健保就醫等資料，找出可能受到感染而罹病的嬰兒。如果您的寶寶具有疑似先天性德國麻疹症候群相關臨床症狀，疾管署會利用寶寶出生時所做的先天性代謝異常疾病篩檢血片剩餘的檢體，進行德國麻疹IgM抗體檢測。
我能公費使用先天性德國麻疹用藥？,無公費用藥。
我適合使用先天性德國麻疹用藥？,先天性德國麻疹症候群無特殊用藥及治療方法，出現疑似症狀，由醫師評估診斷治療。
能自行領用先天性德國麻疹用藥？,先天性德國麻疹症候群無特殊用藥及治療方法，出現疑似症狀，由醫師評估診斷治療。
自費先天性德國麻疹用藥要多少錢？,先天性德國麻疹症候群無特殊用藥及治療方法，出現疑似症狀，由醫師評估診斷治療。
了解先天性德國麻疹用藥。,先天性德國麻疹症候群無特殊用藥及治療方法。
先天性德國麻疹用藥有哪些種類？,先天性德國麻疹症候群無特殊用藥及治療方法。
先天性德國麻疹用藥有哪些廠牌？,先天性德國麻疹症候群無特殊用藥及治療方法。
先天性德國麻疹用藥後要注意什麼？,先天性德國麻疹症候群無特殊用藥及治療方法。
這是治療先天性德國麻疹症候群後的副作用嗎？,先天性德國麻疹症候群無特殊用藥及治療方法。
服用先天性德國麻疹用藥有哪些副作用？,先天性德國麻疹症候群無特殊用藥及治療方法。
服用先天性德國麻疹用藥有副作用要去哪裡就醫？,先天性德國麻疹症候群無特殊用藥及治療方法。
先天性德國麻疹用藥可否自行停藥？,先天性德國麻疹症候群無特殊用藥及治療方法，出現疑似症狀，由醫師評估診斷治療。
哪裡可以接種百日咳疫苗？,1.您可至全國各地衛生所(台北市為各區健康服務中心)或各縣市預防接種合約醫院診所接種。各縣市疫苗的合約院所，可向各地衛生局(所)洽詢。
我想了解百日咳疫苗或預防藥品。,"含百日咳疫苗有：
 1.白喉破傷風非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗 (DTaP-Hib-IPV)
 2. 白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗(DTaP-IPV)。"
接種百日咳疫苗有副作用去哪裡就醫？,請儘速至原接種疫苗之醫療院所就醫。
我能公費使用百日咳用藥？,百日咳公費用藥條件為確定病例之接觸者及經臨床診斷高度懷疑為百日咳者。
我適合使用百日咳用藥？,經醫師或衛生單位評估為百日咳確定病例之接觸者及經臨床診斷高度懷疑為百日咳個案，建議接受適當的預防性藥物。
能自行領用百日咳用藥？,經醫師或衛生單位評估為百日咳確定病例之接觸者及經臨床診斷高度懷疑為百日咳個案，建議接受適當的預防性藥物。
自費百日咳用藥要多少錢？,因治療藥物之廠牌、劑量、時間等不同，自費價格請洽各醫療院所諮詢。
了解百日咳用藥。,抗生素治療：Macrolide類及TMP- SMX藥物。
百日咳用藥有哪些廠牌？,目前預防性用藥為Azithromycin (Zithromax 輝瑞大藥廠)，自費或健保者請洽詢就醫之醫療院所。
這是治療百日咳後的副作用嗎？,中度腹瀉、噁心、嘔吐、胃痛、過敏反應等，或請洽詢就醫之醫療院所，由醫師評估。
服用百日咳用藥有副作用要去哪裡就醫？,請儘速至附近醫療院所就醫。
孕婦感染了百日咳會有什麼症狀？,陣發性咳嗽，吸氣時出現高聲調的哮咳聲。
嬰幼兒感染了百日咳會有什麼症狀？,陣發性咳嗽，吸氣時出現高聲調的哮咳聲。
嬰幼兒要如何預防百日咳？,"最有效的方法是疫苗接種
 應儘量避免出入人潮擁擠之公共場所，擔心被感染的易感族群可戴口罩，並勤洗手，避免以手碰觸口鼻等黏膜處。避免帶未滿1歲或未接種疫苗的嬰幼兒至流行地區。"
我想了解四合一疫苗。,"1.白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗（DTaP-IPV）含全量百日咳成分，對於百日咳能提供更佳的免疫保護力。
。"
哪裡可以接種「侵襲性b型嗜血桿菌感染症」疫苗？,1.您可至全國各地衛生所(台北市為各區健康服務中心)或各縣市預防接種合約醫院診所接種。各縣市疫苗的合約院所，可向各地衛生局(所)洽詢。
侵襲性b型嗜血桿菌感染症有擴大施打對象嗎？,"1.國內於2010年3月起將五合一疫苗（白喉、破傷風、非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺混合疫苗）納入幼兒常規接種項目，於幼兒出生滿2、4、6及18個月時各接種一劑。
 2.一些年齡較大的兒童和具潛在疾病或特殊醫療需求情況之成年人，感染Hib的風險增加，如果他們未在兒童期接種疫苗，亦應接種一劑疫苗，無擴大施打對象。"
侵襲性b型嗜血桿菌感染症疫苗保護力可以持續多久？,Hib結合型疫苗雖然各個抗體上升快慢有點差別，但其整體對嬰兒（大於2個月起）之保護作用均高達95∼100%。
罹患「侵襲性b型嗜血桿菌感染症」可以上班上課？,患者自出現疑似症狀就醫，應持續呼吸道隔離，至少至適當的抗生素治療後24小時，期間不可上班上課！
我需要篩檢侵襲性b型嗜血桿菌感染症嗎？,國內目前並無b型嗜血桿菌篩檢試劑。
我能公費使用「侵襲性b型嗜血桿菌感染症」用藥？,您如為確定病患之接觸者(如家庭成員、托兒所和育嬰中心、6歲以下兒童含特別是新生兒)，即符合公費預防性抗生素提供對象。
我適合使用「侵襲性b型嗜血桿菌感染症」用藥？,如出現疑似症狀，應由醫師評估過您的病史、藥敏史、就醫紀錄酌予調整後，才可使用。
能自行領用「侵襲性b型嗜血桿菌感染症」用藥？,如出現疑似症狀，應由醫師評估過您的病史、藥敏史、就醫紀錄酌予調整後，才可使用。
自費「侵襲性b型嗜血桿菌感染症」用藥要多少錢？,因治療藥物之廠牌、劑量、時間等不同，自費價格請洽各醫療院所諮詢。
了解「侵襲性b型嗜血桿菌感染症」用藥。,1.治療用藥∶ 傳統上使用 Ampicillin，但大約有 30％的菌株因具有β-lactamase 而產生抗藥性，故於未確定菌株藥物敏感性前，建議使用 Ceftriaxone 或 Cefotaxime。病患於出院前需給予Rifampin 服用，以確定完全除去病原菌。
「侵襲性b型嗜血桿菌感染症」用藥有哪些種類？,1.治療用藥∶ 傳統上使用 Ampicillin （以注射法，200～400 mg/公斤/天），但大約有 30％的菌株因具有β-lactamase 而產生抗藥性，故於未確定菌株藥物敏感性前，建議使用 Ceftriaxone 或 Cefotaxime。病患於出院前需給予Rifampin 服用，以確定完全除去病原菌。
「侵襲性b型嗜血桿菌感染症」用藥有哪些廠牌？,"侵襲性b型嗜血桿菌感染症常見用藥
1.Penicillin(廠牌包含輝瑞藥廠、永豐化學、中化CCPC等)
2.Rifampin(廠牌包含榮民製藥、中化CCPC、國嘉、永信、培力藥品、景德等)
3.Ceftriaxone(廠牌包含汎生、信東、羅氏、Alvogen、優良化學製藥等)
4.Cefotaxime(廠牌包含政德、賽諾菲等)
5.Azithromycin(廠牌包含輝瑞大藥廠、Haupt pharma等)。"
